id,comments
d2xy5k,"NTA

Your aunt won't learn anything if she doesn't do it herself.  What's the point of going back to school, then?

Proof-reading is one thing, but doing a total translation is another.

Plus how's she ever going to survive the final exam?"
d2xyvy,"YTA Be in the car before 710, you were both late it doesn't matter. Take responsibility for your actions"
d2y5uo,"NTA You have EVERY RIGHT to distance or end a toxic relationship, no matter how close.

When people show you who they are, believe them . Now, take a moment and remember who you are. You are a devoted parent who doesn't want their child harmed. You're not an asshole, you're a strong ass human being and your child is lucky you love them more than fear the disapproval of others. ."
d2y70f,"YTA - you offered, they were not at a restaurant...why is this even a post?"
d2yaen,[deleted]
d2yccx,"NAH. Kudos to him for wanting to be vegan, but it takes a LOT of research to properly balance a vegan meal, especially for growing children. You're the person in charge of purchasing and probably preparing food, so it's a-ok to say ""Wait until you're older.""

When my daughter decided she wanted to be vegetarian at the age of 10, she had a well thought-out reasoning, so I told her she could do it, but she would NOT be going vegan. The substitutes for protein and calcium are far too expensive, and I didn't have time or interest in learning the art of balancing vegan meals. 

Fast-forward 12 years, she is still vegetarian, and most of my meals are, too. It's less expensive, and there are some really, really good vegetarian recipes out there."
d2ycfl,"If your son is upset that you think his brother (not even, like, an aunt) should check in on him, he's not mature enough to be left alone. Even when I was 18 I was happy to have a sibling check in on me if I was alone, for company if nothing else. 

Stick to your guns. Your house, your rules, and you do what makes you comfortable."
d2yej8,Yeah YTA your friend is probably well aware of their medical condition and how it effects others. Honestly after hearing that I for one would likely be unselfconscious and resentful of your crass and careless remarks. Plus herpes is more common then most people think. 2/3 of the world's population is know to have it in some form of the disease. if you've ever had a cold sore you have a form of the herpes virus though not the genital kind.
d2yh0f,"YTA. Grade school gym class victories count for nothing, but participation is everything. You willingly excluded other classmates from participating fully, which makes you the a-hole."
d2yh8z,"NTA - I donâ€™t understand how you think youâ€™re the asshole here. Booths arenâ€™t â€œownedâ€ by anyone, it doesnâ€™t matter who sat there the previous day, nor if they sat there for an ENTIRE month - you were there first, itâ€™s your booth for the day."
d2yhsp,"ESH. You both suck for arguing in front of a customer. Unprofessional as hell. Also, the letter was petty. You were done working there, be the bigger person and just leave."
d2ynbq,NTA everything your boss is doing honestly sounds illegal. You should ask for a handbook and read it through to see if you're right.
d2ypfo,"NTA, obviously. Your friend is a shit friend and sheâ€™s trying to gaslight you. Iâ€™d look for better friends."
d2yt71,NTA. Nobody owns a name.
d2yup6,"NTA. The only a hole is the dad. He involves both of you when only one is at fault, and part of my definition of an a hole is that the consequences of their actions affect innocent people in a scenario intentionally. However, I do not think your mom and brother are. Your mom may have a different viewpoint, but she may only see certain things. I think your brother is being immature, but not yet to the point of being the a hole in this case. I would not be surprised though if he does become one or he rebels beyond rebelling."
d2yvh2,"I think it's your responsibility to bring this to HR.

She's not doing anything wrong, the gossipers are.
 
YTA"
d2yvqa,"Honestly, YTA. Itâ€™s not her fault for wanting to continue to talk to you and operating under the assumption that youâ€™re still friends. Just because she doesnâ€™t want you romantically doesnâ€™t mean she canâ€™t talk to you at all. You wouldnâ€™t be super assholish if you just politely explained to her that you didnâ€™t want to talk to her anymore and that you just didnâ€™t like her. But it sounds like you didnâ€™t do that. You called her names and provided no explanation. And now you tell her you hate her and continue to put her down with no explanation? Youâ€™re the asshole, dude."
d2yxhl,"YWBTA. Or, you would be the busy-body tattle-tale who doesn't mind their own business."
d2yxx8,"NTA. I do think your sister is an asshole for not letting you speak about your own interests and then turning around and becoming upset when you don't tell them anything. If they don't let you get a word in edgewise and then judge you when you finally do tell them about something, why would you want to try to tell them anything?

Some people just don't get along with their siblings. Some never did, some grow apart as adults. It's sad, but it's life. They're just people you happen to share DNA with, that doesn't automatically make people compatible friends for each other."
d2yz38,"YTA

hey what if we just let people be gay and live their lives the way they want to without dictating if they're ""gay enough"" because of LGBT history?"
d2z0i1,"Not gonna cast judgement but it's unfair to ostracize your uncle because you suspect him of sharing something that makes him uncomfortable. Him expressing discomfort to his mother about the situation isn't an affront against you or your choices of clothing, he could have just been talking earnestly about how he doesn't know how to manage the situation in a non-dictorial or judgemental manner. You're making assumptions about his motivations and are choosing a course of action based on the assertion that you're right in your assumptions. Also, you don't even know for certain if it is the uncle you suspect it to be."
d2z1t1,"NTA.

If you let him in, you're not getting him out again."
d2z2r2,"YTA.  Instead of swinging your dick, you should have talked with the chef about HIS employees.

You ruined your chances of being a good fit for this job.  Time to start looking for a new one."
d2z4pr,"YTA.  She said she would need to check with the office, which is correct.  A sub canâ€™t just let a student leave because they say they have somewhere to be.  All teachers operate in loco parentis, which basically means you are assuming responsibility for all students.  You should have waited patiently and let her check."
d2z6dh,NTA. Thereâ€™s no point in continuing to date someone with a kid when children are a dealbreaker for you. And the fact that he called you a bitch leads me to believe that youâ€™ve dodged a bullet.
d2z6s4,"YTA

so basically, you just want someone to sit there and be a sponge for your negativity? do you actually want support from someone or do you just want him to sit there silently like a piece of furniture while you complain?"
d2z815,"YTA. I didnâ€™t see anywhere in your post where she misrepresented how she is going to spend the money. If people chose to donate, thatâ€™s their choice. The girl is trying to beat cancer. You should be happy for her, not hating on a GoFundMe page."
d2z9tl,"ESH.  Going into your room and not asking isn't cool, you fixed the problem with the lock.  It really should have ended there.  They would need to ask, and then you could either okay it or decline.  Banning them from all interaction with your pets and causing house drama was unnecessary."
d2zarg,"ESH. Them for not being more careful with infants. You for losing it to the point where the police were being called. Hopefully you are pulling your child out immediately. Based on the response you got, I wouldnâ€™t trust them not to be punitive towards your baby."
d2zc3f,"YTA

The problem isn't that you gave them video games, it is that you undermined her authority. She had made a decision, but you disregarded that decision.

If you felt she was being too harsh, then you need to talk to her and not act against her.

You are a partnership, and you need to provide each other support. Because next time she tries to punish the kids or enforce discipline the kids will go to you because they know you are going to let them do what they want.

""All the kids are playing videogames"" is a pretty weak excuse for you to unilaterally override her decision."
d2zc7r,NTA.  You aren't telling him no because he is depressed.  You are telling him no because he doesn't respect your boundaries.
d2zfhj,"NTA/NAH..... some dudes are just wired weird when it comes to matters of the heart. He may have not opened up about how much he misses her and heâ€™s been radio silent for a week, if heâ€™s a good looking guy crushing it and he just ghosted after something as trivial as this triggered this reaction give him space. He will realize his error eventually and because youâ€™re like family you guys will figure it out. Sometimes a broken heart and paranoid thoughts make people bug out. Best of luck buddy"
d2zgmq,"YTA. You have no control over what she posts, nor should you. Sheâ€™s an adult, and has been for several years. The pictures you described (bikinis) sound fairly typical, not â€œvery slutty,â€ (which, by the way, a woman has the right to post photos that are as revealing as she wants) and you shaming her and basically all women (â€œdisgustingâ€? Suuuuper judgy) isnâ€™t helping your case."
d2zkcx,"NTA - this sounds like his problem not yours. 
Also, I think itâ€™s common law at this point. So using wife is appropriate"
d2znak,"NTA - your house, your rules."
d2zpin,"I'm leaning pretty hard on the NTA fence here because how the heck do you not see the yellow tape at the front of the driveway??? 

However, INFO did your newly paved driveway look damaged in anyway? I think this would figure into whether you are TA or not. I'd be pissed too OP."
d2zqml,"NTA

Don't give any type of pet as a gift to someone outside your own household."
d2zr3g,"Sorry but YWBTA. That's a pretty long stretch of time to leave children of that young age for something that is ultimately 100% selfish. It would be understandable if you had to leave for that amount of time in order to support your family in some way.

You can't break this hike up into smaller time increments?"
d2zsl5,"ESH. Just...stop hanging out with her. You guys OBVIOUSLY don't like hanging out with each other. If you can't say anything nice about friends when writing an AITA post, just leave them alone."
d2zt51,ESH. Youâ€™re both ridiculously immature and vindictive. Holding on to nudes for nefarious purposes is a really scummy thing to do.
d2zwf1,"NTA. Put your foot down now. You raised the scholarship money. It's time to stop teaching him it's okay to make petty demands that change the entire course of your life. He's not a toddler.

Also, honestly, I'd do everything in my power to go to college in *any* other state if I were in MO, too. I'm not bashing the entire culture but you want your youth years to be free, happy and in an environment that encourages challenging assumptions and finding the best thoughts no matter who they come from."
d2zyui,"NTA though don't expect it to have much of an effect on whether she pays you back. I'd save the messages (if you still have them) where you told her you expected to be paid back. But, if she's the kind of person who would expect you to just let her slide on it, I'm not sure she would change that mindset if she signs an IOU. It isn't like you would take her to court over it. 

Best of luck. I do hope she repays you but I have little faith in people in general."
d2zzbm,NTA.  Tough for him that he's homeless.  Room mates don't get to unilaterally move a male into a female only apartment.
d2zzke,"NTA as long as you're keeping it totally factual.

That having been said, you better be 100% solid about what information you're providing, and have everything documented somewhere to back it up.  There's a reason why most companies nowadays keep reference information to a bare minimum (""Mr. X worked with us from x-date to y-date"").  It's to avoid the risk of being sued for providing a poor reference.

Are you sure you can't pawn this off to HR?"
d300nr,"UPDATE: 
I told my husband I could only do it if I can say the following: 
I don't think he's a bad dad. I do think he's a bad husband, and thought this before any of this happened, but being a crappy husband doesn't make someone a bad dad.  I believe he deserves to see his children.  But I think until his medication has been corrected, he is seeing a therapist regularly, and has had a mental health professional sign off on it, visits should be supervised. 
My husband insists he is working on getting his meds right and that I haven't seen him in 5 months so I can't judge based on the last time I saw him. WHICH I SAY IS A PRETTY GOOD ARGUMENT FOR NOT BEING A WITNESS.
He now doesn't think I should do it because I might hurt his case. But he still thinks I'm the asshole"
d303t4,"ESH - the guy sounds like a complete dick, but it is not your house and not your concern."
d303zz,"NTA - I was leaning the other way until you mentioned that one of your siblings is being left off the hook for a school field trip which makes it feel like this isn't as an important / big deal, or the family would be wanting their attendance as well.    I will agree it's not about your relationship with your great-grandma (or lack there of) - but rather about being there for your loved ones who are grieving her lost.  

I agree you should go to the viewing at least if at all possible for a brief time (and I hate to say that because I sympathize with your fear of funerals...the truth is though that unfortunately you may have to attend quite a few throughout your life).  

So my advice would be to go ... but my judgement is you're not the asshole if you don't."
d30a0c,"YTA

If you would hold her to it (and you have) you owe her the cash and are a huge asshole if you hide it. 

Don't make the bet if you are not willing to pay."
d30bpb,NTA. Who the fuck is gonna get that mad over not picking up the phone? He's a dick. Get away from that psycho.
d30c4a,">What's going on here? 

Great fucking question."
d30clt,NAH.  You can ask....and they can pass on you for it.
d30o79,"NTA, this is ridiculous. You are not obligated to cancel your life because your parents are too cheap to pay for a kennel service."
d30psu,Nta.  Selfless and having boundaries are not mutually exclusive.
d30vyu,"YTA for hitting him with 500$ a month, that's ridiculous seeing as his mortgage is 3800 bucks and your current rent is 2000. Maybe not 50/50 but that was a completely ridiculous offer and started this process off on the wrong foot."
d30wfe,NTA you deserve your privacy and your father crossed the line by being so controlling. Telling him the truth was a great step but I think he needs to take a step back and listen to you. By ignoring you he's honestly not doing a great job at parenting
d3108y,"YTA. You gave her something that you admit canâ€™t be easily carried in a bag when she also had a full day ahead of her. She made it clear it was going to be a hassle to carry around, but you didnâ€™t care. You should have asked her what would have been a good time to give it to her."
d311dm,"NTA.
Others say you should have talked to the neighbor first, and you could have, but choosing not to do so doesn't make you the asshole.

That's your parking spot. You literally pay money to for something you can't even use because of this guy.

The landlord already told him to stop using it, so if he will ignore the landlord, chances are slim he would pay you any attention if you had tried to confront him about it yourself.

Edit: typos"
d313nl,NTA and I agree with the other commenter that counseling might be a good option for you two. Going off birth control behind your back is low-kew crazy ðŸ™ƒ
d3180u,"YTA Come on. Truth or Dare is supposed to be light-hearted and fun, not used to uncover painful secrets. If they chose not to tell you, they had a reason and you should have respected that. I hope you apologized."
d31cjt,"NTA For someone who's supposed to be body-positive, she's real selective about what bodies get to have positivity. If she didn't want shit thrown back at her about her body, maybe she shouldn't have badgered you about yours."
d31gzm,[deleted]
d31ko5,"> idk am i in the wrong here? 

I mean obviously not.

What scenario has you being an asshole in this situation?"
d31l3k,NTA not appropriate and could put a wedge between you and him and make the daughter uncomfortable later when she knows
d31mcy,"Don't ask, there isn't any point. If he is so dense he cannot understand that dating your brother's problematic sloppy seconds is gonna be an issue for you and your friend group you should just move on. NTA."
d31mju,Lol I mean YTA. Cuz you couldâ€™ve just had your boss talk to him then see if his behavior changed. I doubt you wouldâ€™ve gotten fired for his wrongdoings.
d31n40,NAH Build her a she shed for her hobby?
d31rqd,"NTA  
I'm sorry, man. That $45 is gone. Usually there is a down payment, then the rest is paid once the piece is complete. But this girl is taking you for a ride.  
Tell her you wish to cancel, request $30 of the $45 be returned.  
Write that you have been patient, but she is several month over-due. If she doesn't return the money, you'll be forced to post it on social media which could hurt her reputation for future commissions.  
I know, it's not a slam dunk.  
To be honest, you will 99% not see the money or the finished product. The best thing to do is atleast ATTEMPT to get your money back, then just move on.  
I know it not what you want to hear, but there are really no great choices in this position.  
And lastly, don't tell your gf about it. She will be disappointed that she didn't get the item, and disappointed that you gotten taken advantage of.  Just move forward and get this girl back when you can."
d31rvc,"NTA - She crossed the line on ""protecting your safety"" big time. You just watched a damn Youtube video so what's the deal? EVERYONE does that."
d31t57,NTA - You straight up told her no sow why are you TA?
d31tuu,"ESH because she might have a irrational, annoying phobia but you signed up for dealing with it when you started dating her. Youâ€™re allowed to set spider killing boundaries, but you shouldnâ€™t invalidate her fear."
d31vlg,"YTA for expecting payment when it wasn't discussed. I realize a lot of people may disagree with this because it is based on Western ideals of politeness and middle to upper class individuality, but poorer households and non-White households are way more collective, so offering payment when *you* offered to watch her without discussing payment is an absolute asshole move. Tack on the fact humans aren't actually mind readers and you're just fully in the wrong.

Instead of being passive aggressive about it maybe instead say ""hey, would you mind pitching me a twenty every month? I don't mind watching your kid, but it would help offset the cost of care for snacks!"" and if she agrees everyone is happy! If she rejects then you can go the ""Then I don't think I can watch her"" route."
d31xn1,"NTA. This is your dadâ€™s call, not yours. Your sister is old enough to get a job and her own place. If she wanted to stay with you guys she needed to change her behavior. It sounds like she potentially has a problem with alcohol. I hope she gets the help she needs."
d31yek,"NTA, but don't tell her off. Just make it clear that she is not ever allowed to take your clarinet anywhere or authorize repairs. Full stop."
d32193,NTA But if this is to be a long term relationship this sounds very uneven and weird. He wants you to pay for obvious wear and tear on a car you drive once in a while??? Not cool and weird when he didnâ€™t ante up on something that he broke of yours that was clearly NOT wear and tear.
d326ds,NTA. Your neighbor has no business owning pets if she isnâ€™t going to care for them beyond their kitten years. Iâ€™d also contact the humane society and let them know that the cats arenâ€™t being cared for so it can be looked into.
d328tf,Are you serious ? She sounds exhausting.
d328y9,NTA. Your boyfriend is the definition of unappreciative. When someone gives you a gift you say thank you and leave it at that.
d32age,"YTA 

Your dad has elected not to tell them. Respect his choice. 

He can deal with them asking for shit. He's an adult who makes his own choices based on all factors not all of which  he needs to explain to you or anyone else. you don't need to ""save him from dealing with your siblings."
d32ayl,"NAH. Youâ€™re entitled to your feelings and wouldnâ€™t be out of bounds for discussing those feelings with her. That said, breastfeeding isnâ€™t inappropriate and pictures of a child breastfeeding arenâ€™t sexual or inappropriate."
d32eyt,"ESH- your mother should respect your wishes, but you need to learn self-control. You'll get more respect by being firm and calm."
d32gbo,"NTA, absolutely. Just be aware that how you tell her this sort of stuff will affect your relationship with her and/or your father. If you don't much care about that, then there's no real need to worry."
d32l4b,YTA - Don't make a suggestion on your bf's birthday unless you are paying.
d32lit,"NTA pigs are very smart and social and take a LOT of work, she absolutely should not get a pet pig unless all the housemates agree and can provide for it all the space and attention it will need"
d32m4v,"ESH, but your still an asshole  and obviously proud of it."
d32npn,"YTIdiot  (if thatâ€™s not too inflammatory) 

I would encourage you to avoid things like this in the future simply because taunting someone you dont know to be mentally stable in a metal death machine as a pedestrian is not a great idea. I donâ€™t remember who first told me this, but Iâ€™ve always remembered, â€œright of way doesnâ€™t matter if youâ€™re dead.â€"
d32nvx,NTA. You did good.
d32ogk,YTA. Her laughter and the existence of her social life pisses you off? God forbid she has friends! She didnâ€™t do anything to â€œdisrespectâ€ you. This post is like one giant red flag.
d32ql1,NTA.  Just send your cousin a card. You are not obligated to go to this wedding.  Do not set yourself on fire to keep someone else warm. Protect yourself and stay away from them.
d32qm7,"I'm going to say NAH because it doesn't sound like you've spoken to her about it yet and hence we don't know what her reaction or response would be. You are not the asshole for wanting some time to yourself to do whatever, whether it's playing games or sleeping in. Talk to her, you have every right to have some alone time even in a relationship."
d32yn2,"NTA but I suggest you speak with a lawyer as soon as possible and get their advice on whether you post anything. What heâ€™s doing is illegal and you are entitled to some of that money so you can actually use it to care for your daughter, but you donâ€™t want to hurt your chances of getting that money in any way legally, so consult someone first about what you can possibly do."
d32zyc,"NTA, screw people who screw others, intentionally or not. They deserve absolutely no politeness"
d333mv,"NTA. If youâ€™re cleaning up your mistakes, thatâ€™s the very definition of being responsible for them. Is your husband being an asshole or is it just a breakdown in communication due to lack of understanding English?"
d3363m,NTA Hard no! Good lord why would you wanna watch the paper trail of your ex go on possible dates
d336fq,"NTA. you told her once it was over, so it isn't like you kept a secret from her for years. You did what you needed to do to aide your recovery"
d337nx,"NTA - That instructor was very unprofessional. Be careful and pace yourself next time. Before you go back, if you go back, let that instructor know you had an undiagnosed blood pressure issue that made you think you were going to pass out/almost passed out, and next time that you should be able to leave unmolested.

This isn't grade school. Instructors acting like they are entitled to justifications for people leaving early are just practicing bad business. You're paying them to teach you good form, this isn't Martial arts where discipline and a teacher-subservient relationship is implied. And even Eastern Martial arts taking that kind of angle on the customer-instructor relationship is weird to me.

In any event. You are 100 percent fine. Unless the blood pressure thing happens again. But that could just be your body getting used to strenuous activity and being used in New ways. I know that exactly happened when I started running. Focus on consistent breathing.

Either"
d33843,"If you know your mom takes pictures at inappropriate moments, wtf you mooning her for??"
d338et,NTA at all. Honey your mom is abusive and it doesn't matter what her damage is that no excuse. Have you considered living with your dad?
d3396q,"NTA. Your step-mother should be more understanding and lenient with you, considering your OCD. Your reasoning is fairly logical, it does make more sense to take it out later anyways. Good thing you stood your ground. If sheâ€™s that particular about the trash, why doesnâ€™t she just take it out herself then?"
d33e3n,"NAH 

But donâ€™t go telling her she canâ€™t. Talk through the financials of the situation in a way that helps her understand you guys just canâ€™t afford to do this. Itâ€™s sad, and I feel bad for her. She wonâ€™t have biological children, but you guys can foster and make a huge difference in an existing childâ€™s life."
d33i6w,YTA adults in relationships talk to each other. You could have told her you needed a day with no responsibility. She may disagree. Then you set a boundary. This is how you adult. You donâ€™t lie by omission then when you get caught decide to actually lie next time. This is a recipe for a really short relationship.
d33rbv,"NTA
I might get hate for this but if they really hurt you why do you have to forgive or accept their apology? This guys obviously homophobic and maybe he changed but it still doesnâ€™t change that he bullied you enough that you thought about leaving. Donâ€™t listen if you donâ€™t want too."
d33tdr,"YTA. Pick your battles. Sheâ€™s the breadwinner, probably exhausted from her day. Doesnâ€™t want to deal with that shit at 5am. 
She was probably being so dismissive of your frustrations (itâ€™s only a charger) because Iâ€™m guessing she was woken up and frustrated that she was woken up for such a petty reason. 
I get her taking your charger is frustrating as fuck (gf did the same thing to me until I got a wireless charger) but cut her some slack."
d344ql,"NTA Your father is making the right choice by insisting on separate parties. If your mother is so selfish and immature she wants you to tell your dad you'll miss your sister's bat mitzvah if she's not invited tells me that she's not in the right place to merge these kinds of events. She has no business getting you involved in her long dead relationship with your father.

Maybe down the road you could try getting them together on a less important occasion, like 4th of July or something. Don't test the waters with your sister's bat mitzvah. Let your parents work their messes out on their own."
d346b7,"Nah

The cleaning will benefit you all though so I think you should equally pay for it"
d346rd,NTA but you need to be a lot more professional in the emails you sent. Saying 'I'm sorry but I will be busy this weekend and won't be able to do this. Please give more more advance notice in future so I can plan accordingly.' Putting in the extra jabs about feeling unappreciated is out of place and detracts from the main theme of the email.
d34827,"ESH. You should force him to sleep longer. Sleep in. It's a road trip. Get there 3 hours late. No biggie. Also, you shouldn't try to drive. If you're not on the list, the insurance will not cover you. Don't make that mistake."
d34adq,"NAH but I think you might have to be one. I'd rather be temporarily upset and disheartened and learn from that, rather than having a continuing problem I wasn't aware of.

Part of me wants to say ""but if you know she can't reach those places, then is there a point bringing it up?"" but then maybe it is worth bringing it up so she can understand the need to tackle the issue by tackling other issues maybe. Difficult situation and I don't envy you. Hopefully you can find a way of doing it sensitively or constructively."
d34b5t,YTA. Just because you had a shitty customer doesnâ€™t mean you get to fuck with their order. Youâ€™re also just proving her right that her order is always wrong.
